hash,family,seed,result,time,conflicts,decisions,propagations,returncode,maquina
a1617458de611b0dca934ea3a60a0749,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
a1617458de611b0dca934ea3a60a0749,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
a1617458de611b0dca934ea3a60a0749,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
a73a34088fda4ebcf173015b036b5e92,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
a73a34088fda4ebcf173015b036b5e92,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
a73a34088fda4ebcf173015b036b5e92,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
aa5585572cc045a3c2209b083635d598,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
aa5585572cc045a3c2209b083635d598,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
aa5585572cc045a3c2209b083635d598,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
aa7346b1ad1e46590bcf4cb65ac91fd5,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
aa7346b1ad1e46590bcf4cb65ac91fd5,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
aa7346b1ad1e46590bcf4cb65ac91fd5,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
abf7c338e1183f74f3e8a6619bb19348,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
abf7c338e1183f74f3e8a6619bb19348,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
abf7c338e1183f74f3e8a6619bb19348,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
ac51df6b340190cd1182c06ff2955afa,argumentation,42,SAT,40.581,366367.000,485299.000,33438563.000,10,pc1
ac51df6b340190cd1182c06ff2955afa,argumentation,123,SAT,289.972,2492287.000,3121605.000,192412168.000,10,pc1
ac51df6b340190cd1182c06ff2955afa,argumentation,777,SAT,341.402,2545354.000,3185548.000,196046846.000,10,pc1
ad65eff6de4d7da5c4197919936819d5,argumentation,42,SAT,0.065,0.000,0.000,600.000,10,pc1
ad65eff6de4d7da5c4197919936819d5,argumentation,123,SAT,0.060,0.000,0.000,600.000,10,pc1
ad65eff6de4d7da5c4197919936819d5,argumentation,777,SAT,0.067,0.000,0.000,600.000,10,pc1
ae7e391be73431e5dddf2bbafe95758a,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
ae7e391be73431e5dddf2bbafe95758a,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
ae7e391be73431e5dddf2bbafe95758a,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
bbf800109d039e117ed60593c185692c,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
bbf800109d039e117ed60593c185692c,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
bbf800109d039e117ed60593c185692c,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
bdfee78154d94ce8f7225950e9d30ae9,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
bdfee78154d94ce8f7225950e9d30ae9,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
bdfee78154d94ce8f7225950e9d30ae9,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
bf701b504bdefc046b637fdaf8ea065c,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
