instance,family,build,exit,secs,clauses_in,clauses_out,proof_bytes,out_sha1
a95f0373ebf724f474fcc9ccd7197bd9.cnf.xz,H,mit,0,0.115,109922,1,529749,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
a95f0373ebf724f474fcc9ccd7197bd9.cnf.xz,H,mclique,0,0.114,109922,1,529749,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
a95f0373ebf724f474fcc9ccd7197bd9.cnf.xz,H,cliques,0,0.115,109922,1,529749,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
aa4e80476e6a6ea1034e303e6b2e46dc.cnf.xz,H,mit,0,0.415,375450,1,1444273,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
aa4e80476e6a6ea1034e303e6b2e46dc.cnf.xz,H,mclique,0,0.365,375450,1,1444273,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
aa4e80476e6a6ea1034e303e6b2e46dc.cnf.xz,H,cliques,0,0.415,375450,1,1444273,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
b0142b06940fb02e2b4ddb7a2101a3d6.cnf.xz,H,mit,0,0.064,4011,1,90061,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
b0142b06940fb02e2b4ddb7a2101a3d6.cnf.xz,H,mclique,0,0.114,4011,1,90061,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
b0142b06940fb02e2b4ddb7a2101a3d6.cnf.xz,H,cliques,0,0.064,4011,1,90061,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
b0abaa97c4663edc2048d86de3e2b226.cnf.xz,H,mit,0,23.912,219007,241279,8184299,865225f915f86eb3efe50652073a95324e9a1171
b0abaa97c4663edc2048d86de3e2b226.cnf.xz,H,mclique,0,23.712,219007,241279,8184299,865225f915f86eb3efe50652073a95324e9a1171
b0abaa97c4663edc2048d86de3e2b226.cnf.xz,H,cliques,0,21.852,219007,241279,8184299,865225f915f86eb3efe50652073a95324e9a1171
b1c44904cf06682f973b60c8282f45e8.cnf.xz,H,mit,0,0.008,3239,3269,288,3b8ca40d21ab26f60cd1d17de8466c14aae492e3
b1c44904cf06682f973b60c8282f45e8.cnf.xz,H,mclique,0,0.008,3239,3269,288,3b8ca40d21ab26f60cd1d17de8466c14aae492e3
b1c44904cf06682f973b60c8282f45e8.cnf.xz,H,cliques,0,0.008,3239,3269,288,3b8ca40d21ab26f60cd1d17de8466c14aae492e3
bcdc894819cf050e57849fe84a1e8cc4.cnf.xz,H,mit,0,0.164,202202,1,382989,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
bcdc894819cf050e57849fe84a1e8cc4.cnf.xz,H,mclique,0,0.215,202202,1,382989,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
bcdc894819cf050e57849fe84a1e8cc4.cnf.xz,H,cliques,0,0.215,202202,1,382989,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
c44762c4b177ac64fd0919f37de8382e.cnf.xz,H,mit,0,0.265,10430,1,169254,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
c44762c4b177ac64fd0919f37de8382e.cnf.xz,H,mclique,0,0.315,10430,1,169254,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
c44762c4b177ac64fd0919f37de8382e.cnf.xz,H,cliques,0,0.315,10430,1,169254,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
cb2e8b7fada420c5046f587ea754d052.cnf.xz,H,mit,0,0.114,3160,1,50518,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
cb2e8b7fada420c5046f587ea754d052.cnf.xz,H,mclique,0,0.114,3160,1,50518,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
cb2e8b7fada420c5046f587ea754d052.cnf.xz,H,cliques,0,0.115,3160,1,50518,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
d27f76623aed2fce608c092b2aafafc5.cnf.xz,H,mit,0,0.717,542070,1,1830673,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
d27f76623aed2fce608c092b2aafafc5.cnf.xz,H,mclique,0,0.667,542070,1,1830673,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
d27f76623aed2fce608c092b2aafafc5.cnf.xz,H,cliques,0,0.666,542070,1,1830673,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
e430acf720b63044e5c825a00a76b0eb.cnf.xz,H,mit,0,0.064,15375,1,468781,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
e430acf720b63044e5c825a00a76b0eb.cnf.xz,H,mclique,0,0.064,15375,1,468757,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
e430acf720b63044e5c825a00a76b0eb.cnf.xz,H,cliques,0,0.064,15375,1,468757,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
e5787bb4c8c29aa39b14a5e11387999d.cnf.xz,H,mit,0,6.440,252490,264756,4780379,9aab7e2e788b431b7fd94a353d63953387328110
e5787bb4c8c29aa39b14a5e11387999d.cnf.xz,H,mclique,0,0.466,252490,1,2383796,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
e5787bb4c8c29aa39b14a5e11387999d.cnf.xz,H,cliques,0,0.416,252490,1,2383796,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
e91253303b915493090c1f4b59d9e969.cnf.xz,H,mit,0,3.927,144800,1,4198794,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
e91253303b915493090c1f4b59d9e969.cnf.xz,H,mclique,0,3.676,144800,1,4198794,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
e91253303b915493090c1f4b59d9e969.cnf.xz,H,cliques,0,3.576,144800,1,4198794,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
f83424f869b61931d720f93e5a12df3c.cnf.xz,H,mit,0,0.016,7050,1,25309,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
f83424f869b61931d720f93e5a12df3c.cnf.xz,H,mclique,0,0.008,7050,1,25309,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
f83424f869b61931d720f93e5a12df3c.cnf.xz,H,cliques,0,0.016,7050,1,25309,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
fbd9968f5067604694f11f14c07c5527.cnf.xz,H,mit,0,1.719,42615,1,1664601,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
fbd9968f5067604694f11f14c07c5527.cnf.xz,H,mclique,0,1.819,42615,1,1664601,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
fbd9968f5067604694f11f14c07c5527.cnf.xz,H,cliques,0,1.674,42615,1,1664601,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
011984fd82d62d609e776fbf5de75440.cnf.xz,N,mit,0,0.016,8620,7046,38264,e40227482671914ff1171987113264a594970fb1
011984fd82d62d609e776fbf5de75440.cnf.xz,N,mclique,0,0.016,8620,7046,38264,e40227482671914ff1171987113264a594970fb1
011984fd82d62d609e776fbf5de75440.cnf.xz,N,cliques,0,0.016,8620,7046,38264,e40227482671914ff1171987113264a594970fb1
09637d3bd641b4d733666a862e8918ea.cnf.xz,N,mit,0,0.114,102387,93984,110166,619fb0a9a8ffc3ae37ef4124e36a2543c3cf74df
09637d3bd641b4d733666a862e8918ea.cnf.xz,N,mclique,0,0.114,102387,93984,110166,619fb0a9a8ffc3ae37ef4124e36a2543c3cf74df
09637d3bd641b4d733666a862e8918ea.cnf.xz,N,cliques,0,0.114,102387,93984,110166,619fb0a9a8ffc3ae37ef4124e36a2543c3cf74df
0be1e12a8e7282d1a4e389bb90f6dbc7.cnf.xz,N,mit,0,6.237,8093,8675,639187,ad952bdc55fed095d4cee1eb46fb474f8c94dc4c
0be1e12a8e7282d1a4e389bb90f6dbc7.cnf.xz,N,mclique,0,6.538,8093,8675,639187,ad952bdc55fed095d4cee1eb46fb474f8c94dc4c
0be1e12a8e7282d1a4e389bb90f6dbc7.cnf.xz,N,cliques,0,6.142,8093,8675,639187,ad952bdc55fed095d4cee1eb46fb474f8c94dc4c
0c9da400944b002f90fd385d4fdab385.cnf.xz,N,mit,0,1.571,553495,553495,0,940d7e8aac74a65244f2ee612ae3b8540af345f1
0c9da400944b002f90fd385d4fdab385.cnf.xz,N,mclique,0,1.770,553495,553495,0,940d7e8aac74a65244f2ee612ae3b8540af345f1
0c9da400944b002f90fd385d4fdab385.cnf.xz,N,cliques,0,2.224,553495,553495,0,940d7e8aac74a65244f2ee612ae3b8540af345f1
1bb9fe12b4fb50e98903ee87a51d6472.cnf.xz,N,mit,0,0.114,74581,74575,448,ffc7bcbdaeb37a02e9a411fe1df264c5a6718d48
1bb9fe12b4fb50e98903ee87a51d6472.cnf.xz,N,mclique,0,0.114,74581,74575,448,ffc7bcbdaeb37a02e9a411fe1df264c5a6718d48
1bb9fe12b4fb50e98903ee87a51d6472.cnf.xz,N,cliques,0,0.114,74581,74575,448,ffc7bcbdaeb37a02e9a411fe1df264c5a6718d48
2b8cac8e1f5cad04696004e7fbf5cf2e.cnf.xz,N,mit,0,0.666,242594,242595,980,9eb9314dde87ad4fbe923888851ca88dd8c3365c
2b8cac8e1f5cad04696004e7fbf5cf2e.cnf.xz,N,mclique,0,0.766,242594,242595,980,9eb9314dde87ad4fbe923888851ca88dd8c3365c
